CATEGORIA;SUB-CATEGORIA;CAPACIDAD;CODIGO;REFERENCIA;MEDIDAS;CANTIDAD;CIREL;  PRECIO SIN IVA  ;  PRECIO CON IVA  
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011003;12 libras; 19+10cm X 46cm;MILLAR;; $84,87 ; $101,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011008;25 Libras; 25+12cm X 50cm;MILLAR;; $151,26 ; $180,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011013;CUBIERTO;7,5cm X 27cm;MILLAR;; $20,17 ; $24,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;;Cubierto IMP;;MILLAR;; $31,09 ; $37,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;;1/4 Libra;5,5+3,3cm X 15.5cm;CIENTO;; $14,29 ; $17,01 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011004;1/2 Libra; 7,5+4cm X 17cm  ;CIENTO;; $17,65 ; $21,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011001;1 libra; 9+5cm X 20cm ;CIENTO;; $21,85 ; $26,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011005;2 Libras; 11+5,5cm X 23cm;CIENTO;; $29,41 ; $35,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011002;3 Libras; 13+6cm X 26cm;CIENTO;; $36,97 ; $43,99 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011000;4 libras; 13+6cm X 30cm;CIENTO;; $44,54 ; $53,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011006;6 libras; 15+7cm X 36cm;CIENTO;; $61,34 ; $72,99 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011003;12 libras; 19+10cm X 46cm;CIENTO;; $91,60 ; $109,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011008;25 Libras; 25+12cm X 50cm;CIENTO;; $163,87 ; $195,01 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;011013;CUBIERTO;7,5cm X 27cm;CIENTO;; $21,85 ; $26,00 
KRAFT, BLANCO Y SULFITO;BOLSA PAPEL KRAFT LIBRAS;;;Cubierto IMP;;CIENTO;; $32,77 ; $39,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;BB 1/2 LB;1/2  libra; 7.5+4cm X 17cm ;BULTO;; $71,43 ; $85,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471051;1 libra; 9+5cm X 20cm ;BULTO;; $91,60 ; $109,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471052AG;2 Libras; 11+5,5cm X 23cm;BULTO;; $115,13 ; $137,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471053;3 Libras; 13+6cm X 26cm;BULTO;; $139,50 ; $166,01 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471079AG;4 libras; 13+6cm X 30cm;BULTO;; $173,95 ; $207,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471078AG;6 libras; 15+7cm X 36cm;BULTO;; $231,93 ; $276,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;470146;12 libras; 19+10cm X 46cm;BULTO;; $339,50 ; $404,01 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471055;HAMBURGUESA  ;14+5,5cm X 17cm;BULTO;; $102,52 ; $122,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471056;PAPA FRANCESA ; 11cm X 12cm;BULTO;; $46,22 ; $55,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471058;SANDWICH;13+4cm X 13cm;BULTO;; $74,79 ; $89,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;470257;CUBIERTOS  ;7cm X 27cm sulfito natural;BULTO;; $38,66 ; $46,01 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;BB 1/2 LB;1/2  libra; 7.5+4cm X 17cm ;MILLAR;; $77,31 ; $92,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471051;1 libra; 9+5cm X 20cm ;MILLAR;; $99,16 ; $118,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471052AG;2 Libras; 11+5,5cm X 23cm;MILLAR;; $125,21 ; $149,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471053;3 Libras; 13+6cm X 26cm;MILLAR;; $150,42 ; $179,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471079AG;4 libras; 13+6cm X 30cm;MILLAR;; $189,08 ; $225,01 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471078AG;6 libras; 15+7cm X 36cm;MILLAR;; $251,26 ; $299,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;470146;12 libras; 19+10cm X 46cm;MILLAR;; $368,07 ; $438,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471055;HAMBURGUESA  ;14+5,5cm X 17cm;MILLAR;; $111,76 ; $132,99 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471056;PAPA FRANCESA ; 11cm X 12cm;MILLAR;; $49,58 ; $59,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471058;SANDWICH;13+4cm X 13cm;MILLAR;; $81,51 ; $97,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;470257;CUBIERTOS  ;7cm X 27cm sulfito natural;MILLAR;; $41,18 ; $49,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;BB 1/2 LB;1/2  libra; 7.5+4cm X 17cm ;CIENTO;; $83,19 ; $99,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471051;1 libra; 9+5cm X 20cm ;CIENTO;; $107,56 ; $128,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471052AG;2 Libras; 11+5,5cm X 23cm;CIENTO;; $134,45 ; $160,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471053;3 Libras; 13+6cm X 26cm;CIENTO;; $163,03 ; $194,01 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471079AG;4 libras; 13+6cm X 30cm;CIENTO;; $203,36 ; $242,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471078AG;6 libras; 15+7cm X 36cm;CIENTO;; $271,43 ; $323,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;470146;12 libras; 19+10cm X 46cm;CIENTO;; $396,64 ; $472,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471055;HAMBURGUESA  ;14+5,5cm X 17cm;CIENTO;; $120,17 ; $143,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471056;PAPA FRANCESA ; 11cm X 12cm;CIENTO;; $53,78 ; $64,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;471058;SANDWICH;13+4cm X 13cm;CIENTO;; $87,39 ; $103,99 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL BLANCO ANTIGRASO LIBRAS;;470257;CUBIERTOS  ;7cm X 27cm sulfito natural;CIENTO;; $45,38 ; $54,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;470343;1/2  libra; 7.5+4cm X 17cm ;BULTO;; $25,21 ; $30,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;1 libra; 9+5cm X 20cm ;BULTO;; $31,09 ; $37,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;2 Libras; 11+5,5cm X 23cm;BULTO;; $41,18 ; $49,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;3 Libras; 13+6cm X 26cm;BULTO;; $46,22 ; $55,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;4 libras; 13+6cm X 30cm;BULTO;; $58,82 ; $70,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;6 libras; 15+10cm X 36cm;BULTO;; $82,35 ; $98,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;011018;12 Libras;19+10+10cm X 46cm    ;BULTO;; $151,26 ; $180,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;470343;1/2  libra; 7.5+4cm X 17cm ;MILLAR;; $26,89 ; $32,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;1 libra; 9+5cm X 20cm ;MILLAR;; $33,61 ; $40,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;2 Libras; 11+5,5cm X 23cm;MILLAR;; $44,54 ; $53,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;3 Libras; 13+6cm X 26cm;MILLAR;; $49,58 ; $59,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;4 libras; 13+6cm X 30cm;MILLAR;; $63,87 ; $76,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;6 libras; 15+10cm X 36cm;MILLAR;; $89,92 ; $107,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;011018;12 Libras;19+10+10cm X 46cm    ;MILLAR;; $164,71 ; $196,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;470343;1/2  libra; 7.5+4cm X 17cm ;CIENTO;; $29,41 ; $35,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;1 libra; 9+5cm X 20cm ;CIENTO;; $36,13 ; $43,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;2 Libras; 11+5,5cm X 23cm;CIENTO;; $47,90 ; $57,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;3 Libras; 13+6cm X 26cm;CIENTO;; $53,78 ; $64,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;4 libras; 13+6cm X 30cm;CIENTO;; $68,91 ; $82,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;;6 libras; 15+10cm X 36cm;CIENTO;; $96,64 ; $115,00 
KRAFT, BLANCO Y SULFITO;BOLSA  PAPEL SULFITO BLANCO;;11018;12 Libras;19+10+10cm X 46cm    ;CIENTO;; $177,31 ; $211,00 
